state,2020-04-26 00:00:00,2020-05-03 00:00:00,2020-05-10 00:00:00,2020-05-17 00:00:00,2020-05-24 00:00:00,2020-05-31 00:00:00,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00,2021-01-10 00:00:00,2021-01-17 00:00:00,2021-01-24 00:00:00,2021-01-31 00:00:00,2021-02-07 00:00:00,2021-02-14 00:00:00,2021-02-21 00:00:00,2021-02-28 00:00:00,2021-03-07 00:00:00,2021-03-14 00:00:00,2021-03-21 00:00:00,2021-03-28 00:00:00,2021-04-04 00:00:00,2021-04-11 00:00:00,2021-04-18 00:00:00,2021-04-25 00:00:00,2021-05-02 00:00:00,2021-05-09 00:00:00,2021-05-16 00:00:00,2021-05-23 00:00:00,2021-05-30 00:00:00,2021-06-06 00:00:00,2021-06-13 00:00:00,2021-06-20 00:00:00,2021-06-27 00:00:00,2021-07-04 00:00:00
Gujarat,1753.0,2737.0,3191.0,2680.0,2687.0,3261.0,3462.0,3658.0,4036.0,4625.0,5629.0,6449.0,7236.0,7862.0,7412.0,7677.0,8015.0,8205.0,9123.0,9330.0,9594.0,9878.0,9590.0,9017.0,8220.0,7619.0,6690.0,6735.0,7561.0,8677.0,10797.0,10619.0,9175.0,7781.0,6706.0,5518.0,4760.0,4081.0,3333.0,2537.0,1976.0,1797.0,1824.0,2661.0,3329.0,4586.0,8032.0,13167.0,16967.0,26463.0,52203.0,87508.0,99887.0,88304.0,74481.0,40267.0,20941.0,9769.0,4480.0,2283.0,983.0,631.0,437.0
Haryana,79.0,294.0,212.0,223.0,792.0,2029.0,2797.0,3474.0,3204.0,3121.0,4034.0,4965.0,4991.0,5220.0,5120.0,5567.0,6880.0,8697.0,12285.0,16843.0,17837.0,13315.0,10309.0,8514.0,7991.0,7983.0,10146.0,13214.0,17493.0,17104.0,15692.0,11685.0,9004.0,5665.0,3478.0,2305.0,1871.0,1410.0,944.0,730.0,559.0,605.0,640.0,1001.0,1605.0,2482.0,4264.0,7366.0,9902.0,17212.0,36353.0,63540.0,88232.0,100783.0,82963.0,48316.0,20309.0,7700.0,3885.0,1695.0,1046.0,589.0,391.0
Himachal Pradesh,0.0,10.0,24.0,106.0,128.0,85.0,102.0,154.0,238.0,150.0,136.0,275.0,592.0,585.0,630.0,729.0,902.0,886.0,1237.0,2211.0,2679.0,2088.0,1699.0,1549.0,1553.0,1416.0,1846.0,2753.0,4518.0,4370.0,5277.0,5428.0,4546.0,3059.0,2270.0,1339.0,747.0,507.0,316.0,305.0,357.0,350.0,165.0,232.0,461.0,538.0,940.0,1846.0,2455.0,4278.0,6471.0,10551.0,15900.0,26292.0,29532.0,19863.0,10879.0,6138.0,3571.0,1969.0,1265.0,1008.0,1008.0
Jammu and Kashmir,142.0,170.0,285.0,446.0,772.0,1126.0,1411.0,956.0,1132.0,1280.0,1910.0,3042.0,4107.0,3667.0,3418.0,3631.0,3960.0,4396.0,5864.0,10169.0,10123.0,8516.0,7179.0,4836.0,4300.0,3965.0,3456.0,3552.0,3822.0,3825.0,3399.0,3374.0,2869.0,2380.0,1871.0,1594.0,954.0,792.0,729.0,503.0,401.0,418.0,515.0,600.0,549.0,603.0,854.0,1295.0,2755.0,5036.0,7691.0,13208.0,21541.0,31827.0,28725.0,26846.0,19371.0,12366.0,7588.0,4571.0,3107.0,2313.0,1840.0
Jharkhand,31.0,39.0,59.0,125.0,238.0,434.0,683.0,313.0,315.0,400.0,924.0,1722.0,2456.0,4263.0,5364.0,5204.0,6431.0,8009.0,12685.0,10663.0,9400.0,9075.0,7342.0,5674.0,4016.0,3461.0,2333.0,2478.0,1696.0,1397.0,1454.0,1400.0,1180.0,1487.0,1290.0,1249.0,1280.0,927.0,633.0,419.0,328.0,304.0,283.0,340.0,312.0,350.0,611.0,1443.0,3837.0,10629.0,21865.0,36891.0,43890.0,42440.0,31007.0,15891.0,7168.0,4685.0,2379.0,1101.0,854.0,626.0,394.0
Karnataka,98.0,192.0,278.0,853.0,962.0,2291.0,1611.0,1873.0,3226.0,9626.0,14667.0,23436.0,31290.0,38345.0,42815.0,47824.0,51950.0,55200.0,62156.0,60319.0,61795.0,54677.0,64493.0,70270.0,57788.0,39804.0,25034.0,20735.0,15935.0,11260.0,11266.0,9077.0,8529.0,8061.0,7070.0,5783.0,5639.0,4485.0,4226.0,3387.0,3166.0,2825.0,2880.0,2994.0,3663.0,4945.0,9149.0,15443.0,26672.0,44438.0,86958.0,162399.0,259735.0,322316.0,285483.0,226994.0,168524.0,115865.0,74010.0,44612.0,29090.0,21053.0,17241.0
Kerala,31.0,6.0,82.0,207.0,414.0,599.0,600.0,632.0,1032.0,1133.0,2234.0,4221.0,6439.0,6644.0,8378.0,9765.0,13469.0,15347.0,13058.0,20380.0,25886.0,36914.0,53394.0,58522.0,54373.0,51859.0,47018.0,47564.0,39748.0,37024.0,36516.0,37658.0,33017.0,35526.0,35453.0,35641.0,35351.0,36240.0,41399.0,39670.0,38451.0,37160.0,31064.0,25562.0,19078.0,14251.0,12875.0,13424.0,16654.0,27773.0,60963.0,156019.0,229633.0,260008.0,251436.0,203883.0,172239.0,124025.0,98245.0,81092.0,80242.0,83595.0,91531.0
Ladakh,3.0,19.0,1.0,6.0,28.0,22.0,338.0,399.0,124.0,45.0,72.0,82.0,117.0,186.0,177.0,270.0,301.0,393.0,393.0,298.0,414.0,385.0,384.0,582.0,475.0,379.0,357.0,520.0,566.0,510.0,462.0,512.0,298.0,132.0,124.0,156.0,58.0,41.0,26.0,44.0,25.0,21.0,21.0,32.0,12.0,17.0,59.0,68.0,252.0,539.0,1306.0,1166.0,849.0,1093.0,1154.0,944.0,1171.0,699.0,397.0,239.0,158.0,174.0,71.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,22.0,72.0,73.0,53.0,82.0,115.0,130.0,44.0,66.0,26.0,54.0,257.0,911.0,961.0,833.0,894.0,1768.0,1213.0,1036.0,508.0,255.0,229.0,202.0,150.0
Madhya Pradesh,688.0,662.0,1325.0,1576.0,1518.0,1337.0,1413.0,1082.0,1241.0,1639.0,2597.0,4562.0,5163.0,5688.0,5543.0,6276.0,7433.0,9009.0,11005.0,14086.0,17099.0,16834.0,14019.0,11327.0,13913.0,7140.0,5061.0,5109.0,6589.0,8189.0,11985.0,9819.0,9347.0,7818.0,7191.0,5896.0,4675.0,3246.0,2182.0,1481.0,1328.0,1209.0,1705.0,2275.0,2811.0,3637.0,6554.0,12002.0,17266.0,28533.0,63626.0,89871.0,90003.0,85006.0,63567.0,36684.0,16386.0,7112.0,3445.0,1268.0,483.0,279.0,216.0
Maharashtra,4227.0,7932.0,10477.0,16479.0,17978.0,17800.0,21600.0,23637.0,30928.0,40931.0,46536.0,54337.0,65431.0,65351.0,71365.0,81670.0,87188.0,92339.0,119581.0,153903.0,150250.0,133161.0,109685.0,86573.0,68887.0,52640.0,39445.0,35867.0,30425.0,29757.0,40060.0,32994.0,29190.0,16008.0,23529.0,22618.0,26702.0,22122.0,18676.0,17460.0,17584.0,18788.0,33727.0,52864.0,61809.0,89207.0,151354.0,224314.0,280062.0,390428.0,426756.0,458129.0,436918.0,387582.0,290727.0,209162.0,159990.0,106009.0,79326.0,64870.0,63427.0,61994.0,60423.0
Manipur,0.0,0.0,5.0,22.0,31.0,97.0,292.0,328.0,315.0,233.0,268.0,298.0,285.0,580.0,881.0,755.0,742.0,828.0,923.0,848.0,993.0,1327.0,1598.0,1443.0,2049.0,1881.0,1480.0,1629.0,1505.0,1382.0,1731.0,1108.0,1179.0,562.0,378.0,267.0,403.0,189.0,135.0,82.0,63.0,66.0,50.0,38.0,17.0,23.0,21.0,44.0,39.0,71.0,163.0,632.0,1624.0,2870.0,4277.0,4270.0,5528.0,5557.0,4915.0,4216.0,3779.0,4326.0,5177.0
Meghalaya,0.0,1.0,0.0,0.0,8.0,5.0,9.0,0.0,4.0,21.0,192.0,153.0,228.0,224.0,167.0,268.0,519.0,472.0,633.0,699.0,944.0,648.0,1244.0,1088.0,860.0,480.0,568.0,595.0,586.0,636.0,435.0,460.0,579.0,478.0,150.0,77.0,144.0,101.0,34.0,34.0,84.0,92.0,15.0,9.0,7.0,24.0,20.0,19.0,75.0,140.0,552.0,988.0,1322.0,2194.0,3461.0,6115.0,5570.0,3782.0,3371.0,3295.0,3089.0,3050.0,3120.0
Mizoram,0.0,0.0,0.0,0.0,0.0,20.0,64.0,30.0,10.0,14.0,63.0,57.0,77.0,52.0,153.0,146.0,190.0,100.0,59.0,317.0,169.0,287.0,268.0,59.0,83.0,144.0,333.0,310.0,336.0,239.0,199.0,107.0,111.0,86.0,68.0,41.0,56.0,39.0,35.0,17.0,15.0,11.0,15.0,15.0,6.0,7.0,11.0,17.0,24.0,96.0,226.0,474.0,849.0,1250.0,1117.0,1507.0,1653.0,1641.0,1621.0,1829.0,2341.0,1912.0,2548.0
Nagaland,0.0,0.0,0.0,0.0,36.0,71.0,55.0,36.0,185.0,176.0,185.0,230.0,311.0,542.0,857.0,652.0,295.0,216.0,277.0,936.0,328.0,470.0,567.0,520.0,749.0,817.0,578.0,408.0,295.0,924.0,441.0,225.0,336.0,165.0,56.0,32.0,46.0,79.0,22.0,14.0,58.0,35.0,8.0,8.0,12.0,14.0,0.0,4.0,133.0,38.0,136.0,467.0,1131.0,1779.0,1922.0,2010.0,1526.0,1325.0,866.0,629.0,659.0,601.0,447.0
Odisha,49.0,171.0,382.0,530.0,548.0,962.0,881.0,1133.0,1773.0,2252.0,3925.0,4175.0,7312.0,9466.0,10714.0,12933.0,18411.0,22383.0,22301.0,26533.0,28656.0,29902.0,23935.0,20306.0,16652.0,13237.0,10534.0,10024.0,7766.0,5417.0,4466.0,3014.0,2561.0,2497.0,2340.0,1916.0,1485.0,1525.0,1023.0,808.0,590.0,553.0,477.0,526.0,570.0,447.0,598.0,1185.0,2320.0,5958.0,16412.0,36747.0,53266.0,69600.0,76285.0,79038.0,67613.0,58951.0,41219.0,26612.0,23137.0,21964.0,18444.0
Puducherry,1.0,1.0,6.0,9.0,31.0,50.0,69.0,162.0,280.0,285.0,433.0,553.0,764.0,952.0,1517.0,2231.0,2758.0,3444.0,3010.0,2879.0,3011.0,3576.0,2720.0,2489.0,1737.0,1134.0,901.0,731.0,555.0,349.0,254.0,307.0,235.0,271.0,232.0,227.0,251.0,186.0,219.0,217.0,223.0,170.0,129.0,148.0,126.0,172.0,307.0,642.0,1168.0,1605.0,3371.0,5163.0,7730.0,10075.0,12469.0,12067.0,8284.0,5543.0,3687.0,2470.0,1818.0,1373.0,1044.0
Punjab,439.0,990.0,184.0,99.0,188.0,282.0,548.0,889.0,1104.0,1053.0,1478.0,2205.0,2892.0,4379.0,5865.0,7113.0,10602.0,10205.0,10679.0,15530.0,18472.0,13155.0,8635.0,5998.0,3837.0,3486.0,3018.0,3300.0,3647.0,5062.0,5138.0,4619.0,4155.0,3126.0,2421.0,1886.0,1722.0,1632.0,1367.0,1351.0,1355.0,1625.0,2047.0,3486.0,5751.0,8915.0,14203.0,18398.0,19590.0,21279.0,25405.0,36972.0,45880.0,55699.0,57066.0,43218.0,28858.0,15166.0,8950.0,4815.0,2824.0,1679.0,1204.0
